mitarbeiter,servicezeit,gross income,product,product category,is service,net income,month,year
Not recorded,0.0,150.0,Nutrition Basic ,Nutrition,Service,126.05042016806723,November,2020
Not recorded,2.5,220.0,Bikefit Plus ,Bikefit,Service,184.87394957983193,November,2020
Katharina,0.0,150.0,Nutrition Basic ,Nutrition,Service,126.05042016806723,November,2020
Not recorded,3.0,200.0,Bikefit Plus ,Bikefit,Service,168.0672268907563,November,2020
Maxie,0.0,139.0,Coaching Bike ,Coaching,Coaching,116.80672268907564,November,2020
Tim,2.2,190.0,Bikefit Basic ,Bikefit,Service,159.6638655462185,November,2020
Not recorded,0.0,80.0,Stoffwechselanalyse ,Nutrition,Service,67.22689075630252,November,2020
Tim,3.0,250.0,Bikefit Plus ,Bikefit,Service,210.0840336134454,November,2020
Not recorded,3.3,135.0,Bikefit Plus ,Bikefit,Service,113.44537815126051,November,2020
Katharina,0.0,80.0,Beratung / Sonstiges,Missing,Service,67.22689075630252,November,2020
Not recorded,2.0,190.0,Bikefit Basic ,Bikefit,Service,159.6638655462185,November,2020
Maxie,2.0,200.0,Beratung / Sonstiges,Missing,Service,168.0672268907563,November,2020
Raphael,2.0,190.0,Bikefit Basic ,Bikefit,Service,159.6638655462185,November,2020
Not recorded,0.0,139.0,Coaching Bike ,Coaching,Coaching,116.80672268907564,November,2020
Tim,0.0,250.0,Bikefit Plus ,Bikefit,Service,210.0840336134454,November,2020
Tim,2.1,190.0,Bikefit Basic ,Bikefit,Service,159.6638655462185,November,2020
Maxie,0.0,80.0,Beratung / Sonstiges,Missing,Service,67.22689075630252,November,2020
Maxie,0.0,200.0,Beratung / Sonstiges,Missing,Service,168.0672268907563,November,2020
Raphael,0.0,90.0,Beratung / Sonstiges,Missing,Service,75.63025210084034,November,2020
Katharina,0.0,130.0,Beratung / Sonstiges,Missing,Service,109.2436974789916,November,2020
Tim,3.0,0.0,Bikefit Plus ,Bikefit,Service,0.0,November,2020
Raphael,0.0,0.0,Beratung / Sonstiges,Missing,Service,0.0,November,2020
Katharina,0.0,130.0,Beratung / Sonstiges,Missing,Service,109.2436974789916,November,2020
Tim,1.0,80.0,Beratung / Sonstiges,Missing,Service,67.22689075630252,November,2020
Maxie,0.0,89.0,Coaching Bike ,Coaching,Coaching,74.78991596638656,November,2020
Maxie,0.0,230.0,Coaching Bike ,Coaching,Coaching,193.27731092436974,November,2020
Maxie,0.0,230.0,Coaching Bike ,Coaching,Coaching,193.27731092436974,November,2020
Raphael,2.7,200.0,Bikefit Plus ,Bikefit,Service,168.0672268907563,November,2020
Maxie,0.0,67.5,Trainingsberatung ,Coaching,Coaching,56.72268907563026,November,2020
Raphael,3.3,240.0,Bikefit Basic ,Bikefit,Service,201.68067226890759,November,2020
Maxie,2.0,200.0,Beratung / Sonstiges,Missing,Service,168.0672268907563,November,2020
Raphael,0.0,90.0,Beratung / Sonstiges,Missing,Service,75.63025210084034,November,2020
Katharina,1.5,150.0,Nutrition Basic ,Nutrition,Service,126.05042016806723,November,2020
Raphael,1.2,81.0,Beratung / Sonstiges,Missing,Service,68.0672268907563,November,2020
Raphael,2.7,220.0,Bikefit Plus ,Bikefit,Service,184.87394957983193,November,2020
Maxie,0.0,60.0,Trainingsplan ,Coaching,Coaching,50.420168067226896,November,2020
Tim,2.1,150.0,Bikefit Basic ,Bikefit,Service,126.05042016806723,November,2020
Raphael,2.0,100.0,Bikefit Re-Fit ,Bikefit,Service,84.03361344537815,November,2020
Tim,2.2,10.0,Bikefit Basic ,Bikefit,Service,8.403361344537815,November,2020
Tim,1.8,190.0,Bikefit Basic ,Bikefit,Service,159.6638655462185,November,2020
Not recorded,0.0,175.0,Coaching Bike ,Coaching,Coaching,147.05882352941177,November,2020
Tim,3.0,250.0,Bikefit Plus ,Bikefit,Service,210.0840336134454,November,2020
Raphael,1.5,120.0,Bikefit Re-Fit ,Bikefit,Service,100.84033613445379,November,2020
Tim,1.8,180.0,Bikefit Basic ,Bikefit,Service,151.26050420168067,November,2020
Maxie,2.0,150.0,Beratung / Sonstiges,Missing,Service,126.05042016806723,November,2020
Tim,3.0,270.0,Bikefit Plus ,Bikefit,Service,226.89075630252103,November,2020
Maxie,0.0,0.0,Trainingsberatung ,Coaching,Coaching,0.0,November,2020
Tim,2.8,250.0,Bikefit Plus ,Bikefit,Service,210.0840336134454,November,2020
Maxie,3.7,300.0,Beratung / Sonstiges,Missing,Service,252.10084033613447,November,2020
Maxie,0.0,200.0,Beratung / Sonstiges,Missing,Service,168.0672268907563,November,2020
Tim,2.7,250.0,Bikefit Plus ,Bikefit,Service,210.0840336134454,November,2020
Maxie,2.0,150.0,Beratung / Sonstiges,Missing,Service,126.05042016806723,November,2020
Tim,3.2,270.0,Bikefit Plus ,Bikefit,Service,226.89075630252103,November,2020
Raphael,2.3,180.0,Bikefit Basic ,Bikefit,Service,151.26050420168067,November,2020
Maxie,0.0,60.0,Trainingsplan ,Coaching,Coaching,50.420168067226896,November,2020
Maxie,0.0,60.0,Trainingsplan ,Coaching,Coaching,50.420168067226896,November,2020
Raphael,2.5,250.0,Nutrition Sports ,Nutrition,Service,210.0840336134454,November,2020
Tim,1.8,175.0,Bikefit Plus ,Bikefit,Service,147.05882352941177,November,2020
Tim,3.0,270.0,Bikefit Plus ,Bikefit,Service,226.89075630252103,November,2020
Tim,3.3,270.0,Bikefit Plus ,Bikefit,Service,226.89075630252103,November,2020
Katharina,0.0,0.0,Beratung / Sonstiges,Missing,Service,0.0,November,2020
Maxie,2.0,0.0,Beratung / Sonstiges,Missing,Service,0.0,November,2020
Tim,2.1,200.0,Bikefit Basic ,Bikefit,Service,168.0672268907563,November,2020
Tim,3.0,270.0,Bikefit Plus ,Bikefit,Service,226.89075630252103,November,2020
Tim,2.8,240.0,Bikefit Plus ,Bikefit,Service,201.68067226890759,November,2020
Raphael,3.0,210.0,Bikefit Plus ,Bikefit,Service,176.47058823529412,November,2020
Raphael,3.0,180.0,Bikefit Re-Fit ,Bikefit,Service,151.26050420168067,November,2020
Not recorded,0.0,60.0,Trainingsplan ,Coaching,Coaching,50.420168067226896,November,2020
Not recorded,0.0,60.0,Trainingsplan ,Coaching,Coaching,50.420168067226896,November,2020
Not recorded,0.0,60.0,Trainingsplan ,Coaching,Coaching,50.420168067226896,November,2020
Raphael,3.0,0.0,Bikefit Plus ,Bikefit,Service,0.0,November,2020
Katharina,1.5,150.0,Nutrition Basic ,Nutrition,Service,126.05042016806723,December,2020
Tim,3.0,270.0,Bikefit Plus ,Bikefit,Service,226.89075630252103,December,2020
Katharina,1.5,150.0,Nutrition Basic ,Nutrition,Service,126.05042016806723,December,2020
Tim,3.5,270.0,Bikefit Plus ,Bikefit,Service,226.89075630252103,December,2020
Maxie,4.0,220.0,Coaching Bike ,Coaching,Coaching,184.87394957983193,December,2020
Tim,0.5,60.0,Bikefit Re-Fit ,Bikefit,Service,50.420168067226896,December,2020
Katharina,1.5,150.0,Nutrition Basic ,Nutrition,Service,126.05042016806723,December,2020
Katharina,1.5,150.0,Nutrition Basic ,Nutrition,Service,126.05042016806723,December,2020
Maxie,4.0,230.0,Coaching Bike ,Coaching,Coaching,193.27731092436974,December,2020
Maxie,4.0,139.0,Coaching Bike ,Coaching,Coaching,116.80672268907564,December,2020
Maxie,4.0,139.0,Coaching Bike ,Coaching,Coaching,116.80672268907564,December,2020
Maxie,4.0,139.0,Coaching Bike ,Coaching,Coaching,116.80672268907564,December,2020
Maxie,4.0,139.0,Coaching Bike ,Coaching,Coaching,116.80672268907564,December,2020
Maxie,1.7,100.0,Coaching Bike ,Coaching,Coaching,84.03361344537815,December,2020
Not recorded,0.0,175.0,Coaching Bike ,Coaching,Coaching,147.05882352941177,December,2020
Not recorded,0.0,150.0,Coaching Bike ,Coaching,Coaching,126.05042016806723,December,2020
Not recorded,0.0,175.0,Coaching Bike ,Coaching,Coaching,147.05882352941177,December,2020
Not recorded,0.0,139.0,Coaching Bike ,Coaching,Coaching,116.80672268907564,December,2020
Not recorded,0.0,139.0,Coaching Tri ,Coaching,Coaching,116.80672268907564,December,2020
Not recorded,0.0,139.0,Coaching Tri ,Coaching,Coaching,116.80672268907564,December,2020
Not recorded,0.0,139.0,Coaching Tri ,Coaching,Coaching,116.80672268907564,December,2020
Maxie,2.0,150.0,Beratung / Sonstiges,Missing,Service,126.05042016806723,December,2020
Maxie,3.0,200.0,Beratung / Sonstiges,Missing,Service,168.0672268907563,December,2020
Tim,3.0,270.0,Bikefit Plus ,Bikefit,Service,226.89075630252103,December,2020
Tim,2.0,200.0,Bikefit Basic ,Bikefit,Service,168.0672268907563,December,2020
Raphael,1.5,108.0,Bikefit Re-Fit ,Bikefit,Service,90.75630252100841,December,2020
Raphael,3.0,270.0,Bikefit Plus ,Bikefit,Service,226.89075630252103,December,2020
Maxie,3.0,200.0,Beratung / Sonstiges,Missing,Service,168.0672268907563,December,2020
Tim,3.0,270.0,Bikefit Plus ,Bikefit,Service,226.89075630252103,December,2020
Tim,2.2,200.0,Bikefit Basic ,Bikefit,Service,168.0672268907563,December,2020
Maxie,3.0,150.0,Beratung / Sonstiges,Missing,Service,126.05042016806723,December,2020
Maxie,3.0,150.0,Beratung / Sonstiges,Missing,Service,126.05042016806723,December,2020
Tim,2.5,220.0,Bikefit Plus ,Bikefit,Service,184.87394957983193,December,2020
Not recorded,0.0,60.0,Trainingsplan ,Coaching,Coaching,50.420168067226896,December,2020
Not recorded,0.0,130.0,Beratung / Sonstiges,Missing,Service,109.2436974789916,December,2020
Tim,1.8,185.0,Bikefit Basic ,Bikefit,Service,155.46218487394958,December,2020
Tim,1.8,175.0,Bikefit Basic ,Bikefit,Service,147.05882352941177,December,2020
Tim,2.0,200.0,Bikefit Basic ,Bikefit,Service,168.0672268907563,December,2020
Tim,2.0,200.0,Bikefit Basic ,Bikefit,Service,168.0672268907563,December,2020
Not recorded,0.0,139.0,Coaching Tri ,Coaching,Coaching,116.80672268907564,December,2020
Not recorded,0.0,139.0,Coaching Tri ,Coaching,Coaching,116.80672268907564,December,2020
Not recorded,0.0,139.0,Coaching Tri ,Coaching,Coaching,116.80672268907564,December,2020
Not recorded,0.0,60.0,Trainingsplan ,Coaching,Coaching,50.420168067226896,December,2020
Raphael,2.0,200.0,Bikefit Basic ,Bikefit,Service,168.0672268907563,December,2020
Raphael,2.0,130.0,Bikefit Re-Fit ,Bikefit,Service,109.2436974789916,December,2020
Maxie,3.0,200.0,Beratung / Sonstiges,Missing,Service,168.0672268907563,December,2020
Tim,3.0,270.0,Bikefit Plus ,Bikefit,Service,226.89075630252103,December,2020
Raphael,3.0,230.0,Bikefit Plus ,Bikefit,Service,193.27731092436974,December,2020
Tim,3.0,270.0,Bikefit Plus ,Bikefit,Service,226.89075630252103,December,2020
Tim,2.0,200.0,Bikefit Basic ,Bikefit,Service,168.0672268907563,December,2020
Tim,2.3,200.0,Bikefit Basic ,Bikefit,Service,168.0672268907563,December,2020
Not recorded,0.0,200.0,Beratung / Sonstiges,Missing,Service,168.0672268907563,December,2020
Tim,3.0,189.0,Bikefit Plus ,Bikefit,Service,158.82352941176472,December,2020
Tim,2.0,200.0,Bikefit Basic ,Bikefit,Service,168.0672268907563,December,2020
Tim,3.0,243.0,Bikefit Plus ,Bikefit,Service,204.2016806722689,December,2020
Raphael,1.0,0.0,Bikefit Re-Fit ,Bikefit,Service,0.0,December,2020
Raphael,1.5,0.0,Bikefit Re-Fit ,Bikefit,Service,0.0,December,2020
Raphael,2.0,180.0,Bikefit Re-Fit ,Bikefit,Service,151.26050420168067,December,2020
Raphael,2.0,200.0,Bikefit Basic ,Bikefit,Service,168.0672268907563,December,2020
Raphael,1.7,100.0,Bikefit Re-Fit ,Bikefit,Service,84.03361344537815,December,2020
Not recorded,0.0,139.0,Coaching Tri ,Coaching,Coaching,116.80672268907564,December,2020
Not recorded,0.0,139.0,Coaching Tri ,Coaching,Coaching,116.80672268907564,December,2020
Not recorded,0.0,60.0,Trainingsplan ,Coaching,Coaching,50.420168067226896,December,2020
Tim,2.8,255.0,Bikefit Plus ,Bikefit,Service,214.2857142857143,January,2021
Not recorded,0.0,60.0,Trainingsplan ,Coaching,Coaching,50.420168067226896,January,2021
Not recorded,0.0,69.5,Coaching Bike ,Coaching,Coaching,58.40336134453782,January,2021
Not recorded,0.0,139.0,Coaching Bike ,Coaching,Coaching,116.80672268907564,January,2021
Not recorded,0.0,139.0,Coaching Tri ,Coaching,Coaching,116.80672268907564,January,2021
Raphael,3.0,135.0,Bikefit Plus ,Bikefit,Service,113.44537815126051,January,2021
Raphael,1.0,60.0,Bikefit Re-Fit ,Bikefit,Service,50.420168067226896,January,2021
Maxie,4.0,139.0,Coaching Bike ,Coaching,Coaching,116.80672268907564,January,2021
Maxie,4.0,139.0,Coaching Bike ,Coaching,Coaching,116.80672268907564,January,2021
Maxie,4.0,139.0,Coaching Bike ,Coaching,Coaching,116.80672268907564,January,2021
Maxie,4.0,139.0,Coaching Bike ,Coaching,Coaching,116.80672268907564,January,2021
Maxie,4.0,139.0,Coaching Bike ,Coaching,Coaching,116.80672268907564,January,2021
Maxie,0.0,139.0,Coaching Bike ,Coaching,Coaching,116.80672268907564,January,2021
Maxie,0.0,139.0,Coaching Bike ,Coaching,Coaching,116.80672268907564,January,2021
Not recorded,0.0,175.0,Coaching Bike ,Coaching,Coaching,147.05882352941177,January,2021
Not recorded,0.0,150.0,Coaching Bike ,Coaching,Coaching,126.05042016806723,January,2021
Not recorded,0.0,139.0,Coaching Bike ,Coaching,Coaching,116.80672268907564,January,2021
Not recorded,0.0,139.0,Coaching Tri ,Coaching,Coaching,116.80672268907564,January,2021
Not recorded,0.0,139.0,Coaching Tri ,Coaching,Coaching,116.80672268907564,January,2021
Not recorded,0.0,139.0,Coaching Tri ,Coaching,Coaching,116.80672268907564,January,2021
Not recorded,0.0,139.0,Coaching Tri ,Coaching,Coaching,116.80672268907564,January,2021
Not recorded,0.0,139.0,Coaching Tri ,Coaching,Coaching,116.80672268907564,January,2021
Not recorded,0.0,139.0,Coaching Tri ,Coaching,Coaching,116.80672268907564,January,2021
Not recorded,0.0,139.0,Coaching Tri ,Coaching,Coaching,116.80672268907564,January,2021
Raphael,3.0,270.0,Bikefit Plus ,Bikefit,Service,226.89075630252103,January,2021
Tim,2.0,200.0,Bikefit Plus ,Bikefit,Service,168.0672268907563,January,2021
Tim,2.0,200.0,Bikefit Basic ,Bikefit,Service,168.0672268907563,January,2021
Tim,2.1,200.0,Bikefit Basic ,Bikefit,Service,168.0672268907563,January,2021
Tim,3.0,270.0,Bikefit Plus ,Bikefit,Service,226.89075630252103,January,2021
Tim,2.8,255.0,Bikefit Plus ,Bikefit,Service,214.2857142857143,January,2021
Raphael,3.0,270.0,Bikefit Plus ,Bikefit,Service,226.89075630252103,January,2021
Raphael,3.0,270.0,Bikefit Plus ,Bikefit,Service,226.89075630252103,January,2021
Maxie,0.3,60.0,Trainingsplan ,Coaching,Coaching,50.420168067226896,January,2021
Tim,2.5,225.0,Bikefit Plus ,Bikefit,Service,189.07563025210084,January,2021
Tim,2.5,230.0,Bikefit Plus ,Bikefit,Service,193.27731092436974,January,2021
Tim,3.0,270.0,Bikefit Plus ,Bikefit,Service,226.89075630252103,January,2021
Tim,3.0,270.0,Bikefit Plus ,Bikefit,Service,226.89075630252103,January,2021
Not recorded,0.0,60.0,Trainingsplan ,Coaching,Coaching,50.420168067226896,January,2021
Tim,3.0,270.0,Bikefit Plus ,Bikefit,Service,226.89075630252103,January,2021
Maxie,2.0,180.0,INSCYD PPD ,Coaching,Coaching,151.26050420168067,January,2021
Raphael,3.0,240.0,Bikefit Plus ,Bikefit,Service,201.68067226890759,January,2021
Tim,2.5,235.0,Bikefit Plus ,Bikefit,Service,197.47899159663865,January,2021
Maxie,0.3,60.0,Trainingsplan ,Coaching,Coaching,50.420168067226896,January,2021
Tim,2.5,135.0,Bikefit Plus ,Bikefit,Service,113.44537815126051,January,2021
Raphael,2.0,190.0,Bikefit Plus ,Bikefit,Service,159.6638655462185,January,2021
Tim,3.0,270.0,Bikefit Plus ,Bikefit,Service,226.89075630252103,January,2021
Tim,3.0,270.0,Bikefit Plus ,Bikefit,Service,226.89075630252103,January,2021
Tim,2.0,0.0,Bikefit Basic ,Bikefit,Service,0.0,January,2021
Raphael,3.0,270.0,Bikefit Plus ,Bikefit,Service,226.89075630252103,January,2021
Tim,2.0,200.0,Bikefit Basic ,Bikefit,Service,168.0672268907563,January,2021
Maxie,0.9,90.0,Trainingsberatung ,Coaching,Coaching,75.63025210084034,January,2021
Tim,2.6,245.0,Bikefit Plus ,Bikefit,Service,205.8823529411765,January,2021
Tim,1.0,90.0,Bikefit Re-Fit ,Bikefit,Service,75.63025210084034,January,2021
Tim,2.8,260.0,Bikefit Plus ,Bikefit,Service,218.4873949579832,January,2021
Raphael,2.0,200.0,Bikefit Basic ,Bikefit,Service,168.0672268907563,January,2021
Tim,2.7,250.0,Bikefit Plus ,Bikefit,Service,210.0840336134454,January,2021
Tim,0.9,80.0,Bikefit Re-Fit ,Bikefit,Service,67.22689075630252,January,2021
Tim,1.0,90.0,Bikefit Re-Fit ,Bikefit,Service,75.63025210084034,January,2021
Raphael,2.0,200.0,Bikefit Basic ,Bikefit,Service,168.0672268907563,January,2021
Raphael,1.0,90.0,Bikefit Re-Fit ,Bikefit,Service,75.63025210084034,January,2021
Not recorded,0.0,100.0,INSCYD PPD ,Coaching,Coaching,84.03361344537815,February,2021
Tim,2.0,200.0,Bikefit Basic ,Bikefit,Service,168.0672268907563,February,2021
Tim,3.0,270.0,Bikefit Plus ,Bikefit,Service,226.89075630252103,February,2021
Tim,3.0,270.0,Bikefit Plus ,Bikefit,Service,226.89075630252103,February,2021
Tim,3.0,235.0,Bikefit Plus ,Bikefit,Service,197.47899159663865,February,2021
Tim,1.0,44.1,Bikefit Re-Fit ,Bikefit,Service,37.05882352941177,February,2021
Raphael,2.2,180.0,Bikefit Plus ,Bikefit,Service,151.26050420168067,February,2021
Raphael,1.5,120.0,Bikefit Basic ,Bikefit,Service,100.84033613445379,February,2021
Tim,1.8,175.0,Bikefit Basic ,Bikefit,Service,147.05882352941177,February,2021
Not recorded,0.2,100.0,INSCYD PPD ,Coaching,Coaching,84.03361344537815,February,2021
Maxie,4.0,139.0,Coaching Bike ,Coaching,Coaching,116.80672268907564,February,2021
Maxie,1.7,139.0,Coaching Bike ,Coaching,Coaching,116.80672268907564,February,2021
Maxie,1.0,139.0,Coaching Bike ,Coaching,Coaching,116.80672268907564,February,2021
Maxie,2.0,139.0,Coaching Bike ,Coaching,Coaching,116.80672268907564,February,2021
Maxie,2.0,139.0,Coaching Bike ,Coaching,Coaching,116.80672268907564,February,2021
Maxie,2.0,139.0,Coaching Bike ,Coaching,Coaching,116.80672268907564,February,2021
Maxie,2.0,139.0,Coaching Bike ,Coaching,Coaching,116.80672268907564,February,2021
Not recorded,0.0,175.0,Coaching Bike ,Coaching,Coaching,147.05882352941177,February,2021
Not recorded,0.0,150.0,Coaching Bike ,Coaching,Coaching,126.05042016806723,February,2021
Not recorded,0.0,139.0,Coaching Bike ,Coaching,Coaching,116.80672268907564,February,2021
Not recorded,0.0,139.0,Coaching Bike ,Coaching,Coaching,116.80672268907564,February,2021
Not recorded,0.0,139.0,Coaching Tri ,Coaching,Coaching,116.80672268907564,February,2021
Not recorded,0.0,139.0,Coaching Tri ,Coaching,Coaching,116.80672268907564,February,2021
Not recorded,0.0,139.0,Coaching Tri ,Coaching,Coaching,116.80672268907564,February,2021
Not recorded,0.0,139.0,Coaching Tri ,Coaching,Coaching,116.80672268907564,February,2021
Not recorded,0.0,139.0,Coaching Tri ,Coaching,Coaching,116.80672268907564,February,2021
Not recorded,0.0,139.0,Coaching Tri ,Coaching,Coaching,116.80672268907564,February,2021
Not recorded,0.0,139.0,Coaching Tri ,Coaching,Coaching,116.80672268907564,February,2021
Not recorded,0.0,125.0,Coaching Tri ,Coaching,Coaching,105.0420168067227,February,2021
Not recorded,0.0,125.0,Coaching Tri ,Coaching,Coaching,105.0420168067227,February,2021
Tim,3.0,270.0,Bikefit Plus ,Bikefit,Service,226.89075630252103,February,2021
Tim,2.0,200.0,Bikefit Basic ,Bikefit,Service,168.0672268907563,February,2021
Maxie,1.7,100.0,INSCYD PPD ,Coaching,Coaching,84.03361344537815,February,2021
Raphael,3.0,270.0,Bikefit Plus ,Bikefit,Service,226.89075630252103,February,2021
Tim,3.0,270.0,Bikefit Plus ,Bikefit,Service,226.89075630252103,February,2021
Tim,2.5,235.0,Bikefit Plus ,Bikefit,Service,197.47899159663865,February,2021
Not recorded,2.0,0.0,Bikefit Basic ,Bikefit,Service,0.0,February,2021
Tim,3.0,270.0,Bikefit Plus ,Bikefit,Service,226.89075630252103,February,2021
Raphael,3.2,260.0,Bikefit Plus ,Bikefit,Service,218.4873949579832,February,2021
Tim,3.0,270.0,Bikefit Plus ,Bikefit,Service,226.89075630252103,February,2021
Maxie,1.7,100.0,INSCYD PPD ,Coaching,Coaching,84.03361344537815,February,2021
Tim,3.0,270.0,Bikefit Plus ,Bikefit,Service,226.89075630252103,February,2021
Raphael,1.2,90.0,Bikefit Re-Fit ,Bikefit,Service,75.63025210084034,February,2021
Tim,3.0,270.0,Bikefit Plus ,Bikefit,Service,226.89075630252103,February,2021
Tim,2.0,200.0,Bikefit Basic ,Bikefit,Service,168.0672268907563,February,2021
Tim,1.0,90.0,Bikefit Re-Fit ,Bikefit,Service,75.63025210084034,February,2021
Tim,1.0,90.0,Bikefit Re-Fit ,Bikefit,Service,75.63025210084034,February,2021
Tim,3.0,270.0,Bikefit Plus ,Bikefit,Service,226.89075630252103,February,2021
Maxie,1.7,70.0,INSCYD PPD ,Coaching,Coaching,58.82352941176471,February,2021
Maxie,0.7,100.0,INSCYD PPD ,Coaching,Coaching,84.03361344537815,February,2021
Katharina,2.5,150.0,Nutrition Basic ,Nutrition,Service,126.05042016806723,February,2021
Katharina,0.5,56.0,Stoffwechselanalyse ,Nutrition,Service,47.05882352941177,February,2021
Katharina,1.5,150.0,Nutrition Basic ,Nutrition,Service,126.05042016806723,February,2021
Katharina,0.5,80.0,Stoffwechselanalyse ,Nutrition,Service,67.22689075630252,February,2021
Tim,3.0,270.0,Bikefit Plus ,Bikefit,Service,226.89075630252103,February,2021
Katharina,1.5,150.0,Nutrition Basic ,Nutrition,Service,126.05042016806723,February,2021
Tim,3.0,235.0,Bikefit Plus ,Bikefit,Service,197.47899159663865,February,2021
Raphael,3.2,270.0,Bikefit Plus ,Bikefit,Service,226.89075630252103,February,2021
Tim,3.0,240.0,Bikefit Plus ,Bikefit,Service,201.68067226890759,February,2021
Katharina,0.0,0.0,Beratung / Sonstiges,Missing,Service,0.0,February,2021
Katharina,0.5,80.0,Stoffwechselanalyse ,Nutrition,Service,67.22689075630252,February,2021
Tim,3.0,189.0,Bikefit Plus ,Bikefit,Service,158.82352941176472,February,2021
Katharina,1.5,150.0,Nutrition Basic ,Nutrition,Service,126.05042016806723,February,2021
Tim,1.0,90.0,Bikefit Re-Fit ,Bikefit,Service,75.63025210084034,February,2021
Katharina,1.5,105.0,Nutrition Basic ,Nutrition,Service,88.23529411764706,February,2021
Raphael,1.0,63.0,Bikefit Re-Fit ,Bikefit,Service,52.94117647058824,February,2021
Tim,3.0,189.0,Bikefit Plus ,Bikefit,Service,158.82352941176472,February,2021
Katharina,0.5,56.0,Stoffwechselanalyse ,Nutrition,Service,47.05882352941177,February,2021
Katharina,1.5,105.0,Nutrition Basic ,Nutrition,Service,88.23529411764706,February,2021
Tim,3.0,189.0,Bikefit Plus ,Bikefit,Service,158.82352941176472,February,2021
Katharina,1.5,105.0,Nutrition Basic ,Nutrition,Service,88.23529411764706,February,2021
Raphael,3.0,189.0,Bikefit Plus ,Bikefit,Service,158.82352941176472,February,2021
Raphael,0.0,84.0,Bike Buying Consultation ,Missing,Service,70.58823529411765,February,2021
Maxie,1.7,100.0,INSCYD PPD ,Coaching,Coaching,84.03361344537815,February,2021
Maxie,0.0,150.0,LD Bike ,Diagnostics,Service,100.84033613445379,November,2020
Maxie,2.0,260.0,LD Run ,Diagnostics,Service,174.7899159663866,November,2020
Maxie,2.0,150.0,LD Bike ,Diagnostics,Service,100.84033613445379,November,2020
Maxie,3.0,0.0,LD Bike ,Diagnostics,Service,0.0,November,2020
Maxie,0.0,180.0,LD Run ,Diagnostics,Service,121.00840336134455,November,2020
Maxie,2.0,200.0,LD Run ,Diagnostics,Service,134.45378151260505,November,2020
Maxie,2.0,180.0,LD Bike ,Diagnostics,Service,121.00840336134455,November,2020
Maxie,3.0,200.0,LD Tri ,Diagnostics,Service,134.45378151260505,November,2020
Maxie,3.0,150.0,LD Tri ,Diagnostics,Service,100.84033613445379,November,2020
Maxie,2.0,150.0,LD Bike ,Diagnostics,Service,100.84033613445379,November,2020
Maxie,3.0,200.0,LD Tri ,Diagnostics,Service,134.45378151260505,December,2020
Maxie,3.0,300.0,LD Tri ,Diagnostics,Service,201.68067226890759,December,2020
Maxie,2.5,200.0,LD Run ,Diagnostics,Service,134.45378151260505,December,2020
Maxie,3.0,300.0,LD Tri ,Diagnostics,Service,201.68067226890759,December,2020
Maxie,4.0,150.0,LD Bike ,Diagnostics,Service,100.84033613445379,January,2021
Not recorded,0.0,21.0,Sync Komponenten,Shop,Shop,8.4,January,2021
Not recorded,0.0,250.0,Webshop item,Shop,Shop,100.0,January,2021
Not recorded,0.0,60.0,Webshop item,Shop,Shop,24.0,January,2021
Not recorded,0.0,229.0,Webshop item,Shop,Shop,91.60000000000001,January,2021
Not recorded,0.0,209.0,Webshop item,Shop,Shop,83.60000000000001,January,2021
Not recorded,0.0,250.0,Webshop item,Shop,Shop,100.0,February,2021
Not recorded,0.0,250.0,Webshop item,Shop,Shop,100.0,February,2021
Not recorded,0.0,209.0,Webshop item,Shop,Shop,83.60000000000001,February,2021
Not recorded,0.0,30.0,Sync Komponenten,Shop,Shop,12.0,February,2021
Not recorded,0.0,209.0,Webshop item,Shop,Shop,83.60000000000001,February,2021
Not recorded,0.0,100.0,Webshop item,Shop,Shop,40.0,February,2021
Not recorded,0.0,180.0,Webshop item,Shop,Shop,72.0,February,2021
Not recorded,0.0,250.0,Webshop item,Shop,Shop,100.0,February,2021
Not recorded,0.0,280.0,Sync Komponenten,Shop,Shop,112.0,February,2021
Not recorded,0.0,215.0,Webshop item,Shop,Shop,86.0,February,2021
Not recorded,0.0,270.0,Webshop item,Shop,Shop,108.0,February,2021
Not recorded,0.0,180.0,Webshop item,Shop,Shop,72.0,February,2021
Not recorded,0.0,180.0,Webshop item,Shop,Shop,72.0,February,2021
